,eol_pk,trait_eol_pk,predicate,value_uri,measurement,units_uri,literal
17,Trait-219506818,R917-PK219506817,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
18,Trait-219506821,R917-PK219506817,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
19,MetaTrait-362417185,R917-PK219506817,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
20,Trait-219506822,R917-PK219506817,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
21,Trait-219506819,R917-PK219506817,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
22,MetaTrait-362417542,R917-PK219507596,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-12
23,Trait-219507599,R917-PK219507596,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
24,Trait-219507598,R917-PK219507596,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
25,Trait-219507597,R917-PK219507596,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
26,Trait-219505216,R917-PK219505214,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
27,Trait-219505219,R917-PK219505214,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
28,Trait-219505215,R917-PK219505214,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
29,Trait-219505218,R917-PK219505214,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
30,MetaTrait-362416117,R917-PK219505214,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
31,Trait-219505217,R917-PK219505214,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
32,Trait-219507565,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
33,MetaTrait-362417530,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
34,Trait-219507571,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
35,Trait-219507569,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
36,Trait-219507564,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
37,Trait-219507570,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
38,Trait-219507566,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
39,Trait-219507563,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
40,Trait-219507567,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
41,Trait-219507568,R917-PK219507562,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
42,Trait-219507532,R917-PK219507531,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
43,MetaTrait-362417515,R917-PK219507531,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-12
44,Trait-219507534,R917-PK219507531,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
45,Trait-219507533,R917-PK219507531,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
46,MetaTrait-362416078,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
47,Trait-219505132,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
48,Trait-219505129,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
49,Trait-219505131,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
50,Trait-219505125,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
51,Trait-219505130,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
52,Trait-219505128,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
53,Trait-219505126,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
54,Trait-219505127,R917-PK219505124,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
55,MetaTrait-362417488,R917-PK219507481,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Nov-11
56,Trait-219507486,R917-PK219507481,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
57,Trait-219507485,R917-PK219507481,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
58,Trait-219507487,R917-PK219507481,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
59,Trait-219507482,R917-PK219507481,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
60,Trait-219507484,R917-PK219507481,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
61,Trait-219507483,R917-PK219507481,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
62,MetaTrait-362417491,R917-PK219507488,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Nov-11
63,Trait-219507494,R917-PK219507488,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
64,Trait-219507489,R917-PK219507488,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
65,Trait-219507493,R917-PK219507488,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
66,Trait-219507491,R917-PK219507488,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
67,Trait-219507492,R917-PK219507488,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
68,Trait-219507490,R917-PK219507488,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
69,Trait-219506718,R917-PK219506716,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
70,Trait-219506719,R917-PK219506716,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
71,Trait-219506717,R917-PK219506716,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
72,MetaTrait-362417125,R917-PK219506716,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Nov-11
73,Trait-219507603,R917-PK219507600,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
74,MetaTrait-362417545,R917-PK219507600,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-12
75,Trait-219507602,R917-PK219507600,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
76,Trait-219507601,R917-PK219507600,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
77,MetaTrait-362417041,R917-PK219506584,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Nov-11
78,Trait-219506587,R917-PK219506584,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/P_Uhlig,,,http://eol.org/schema/terms/P_Uhlig
79,Trait-219506585,R917-PK219506584,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
80,Trait-219506586,R917-PK219506584,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Wester,,,http://eol.org/schema/terms/M_Wester
81,Trait-219506531,R917-PK219506529,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
82,Trait-219506530,R917-PK219506529,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
83,MetaTrait-362416996,R917-PK219506529,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Nov-11
84,Trait-219506186,R917-PK219506182,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Wester,,,http://eol.org/schema/terms/M_Wester
85,Trait-219506187,R917-PK219506182,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/P_Uhlig,,,http://eol.org/schema/terms/P_Uhlig
86,Trait-219506184,R917-PK219506182,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
87,MetaTrait-362416762,R917-PK219506182,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Feb-14
88,Trait-219506183,R917-PK219506182,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Morneau,,,http://eol.org/schema/terms/C_Morneau
89,Trait-219506185,R917-PK219506182,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Major,,,http://eol.org/schema/terms/M_Major
90,Trait-219506513,R917-PK219506511,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
91,Trait-219506514,R917-PK219506511,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
92,Trait-219506512,R917-PK219506511,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
93,MetaTrait-362416984,R917-PK219506511,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Nov-11
94,Trait-219505973,R917-PK219505970,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Major,,,http://eol.org/schema/terms/M_Major
95,Trait-219505975,R917-PK219505970,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/P_Uhlig,,,http://eol.org/schema/terms/P_Uhlig
96,Trait-219505972,R917-PK219505970,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
97,Trait-219505974,R917-PK219505970,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Wester,,,http://eol.org/schema/terms/M_Wester
98,MetaTrait-362416639,R917-PK219505970,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Feb-12
99,Trait-219505971,R917-PK219505970,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Morneau,,,http://eol.org/schema/terms/C_Morneau
100,Trait-219506332,R917-PK219506329,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
101,MetaTrait-362416861,R917-PK219506329,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Nov-11
102,Trait-219506331,R917-PK219506329,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
103,Trait-219506333,R917-PK219506329,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Wester,,,http://eol.org/schema/terms/M_Wester
104,Trait-219506334,R917-PK219506329,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/P_Uhlig,,,http://eol.org/schema/terms/P_Uhlig
105,Trait-219506330,R917-PK219506329,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
106,Trait-219506845,R917-PK219506841,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
107,Trait-219506842,R917-PK219506841,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
108,Trait-219506846,R917-PK219506841,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
109,Trait-219506844,R917-PK219506841,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
110,Trait-219506843,R917-PK219506841,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
111,MetaTrait-362417197,R917-PK219506841,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
112,Trait-219506847,R917-PK219506841,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
113,Trait-219507174,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
114,Trait-219507175,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
115,Trait-219507176,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_McLaughlan,,,http://eol.org/schema/terms/M_McLaughlan
116,Trait-219507173,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
117,Trait-219507170,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
118,Trait-219507177,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
119,Trait-219507171,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
120,Trait-219507172,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
121,MetaTrait-362417362,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
122,Trait-219507178,R917-PK219507169,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
123,Trait-219507431,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
124,Trait-219507429,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
125,Trait-219507435,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
126,Trait-219507433,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
127,Trait-219507432,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
128,MetaTrait-362417470,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
129,Trait-219507434,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
130,Trait-219507428,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
131,Trait-219507430,R917-PK219507427,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
132,Trait-219506016,R917-PK219506012,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/P_Uhlig,,,http://eol.org/schema/terms/P_Uhlig
133,Trait-219506013,R917-PK219506012,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Morneau,,,http://eol.org/schema/terms/C_Morneau
134,MetaTrait-362416660,R917-PK219506012,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Aug-11
135,Trait-219506014,R917-PK219506012,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
136,Trait-219506015,R917-PK219506012,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Wester,,,http://eol.org/schema/terms/M_Wester
137,MetaTrait-362417053,R917-PK219506600,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-13
138,Trait-219506601,R917-PK219506600,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
139,Trait-219506603,R917-PK219506600,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/P_Uhlig,,,http://eol.org/schema/terms/P_Uhlig
140,Trait-219506602,R917-PK219506600,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Wester,,,http://eol.org/schema/terms/M_Wester
141,Trait-219507206,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/N_Flynn,,,http://eol.org/schema/terms/N_Flynn
142,Trait-219507200,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Kennedy,,,http://eol.org/schema/terms/C_Kennedy
143,MetaTrait-362417371,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-17
144,Trait-219507203,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Baldwin,,,http://eol.org/schema/terms/K_Baldwin
145,Trait-219507207,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/W_MacKenzie,,,http://eol.org/schema/terms/W_MacKenzie
146,Trait-219507201,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/D_Meidinger,,,http://eol.org/schema/terms/D_Meidinger
147,Trait-219507205,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_McKenna,,,http://eol.org/schema/terms/K_McKenna
148,Trait-219507204,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
149,Trait-219507202,R917-PK219507199,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/J_Archibald,,,http://eol.org/schema/terms/J_Archibald
150,Trait-219506574,R917-PK219506572,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Wester,,,http://eol.org/schema/terms/M_Wester
151,MetaTrait-362417032,R917-PK219506572,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Nov-11
152,Trait-219506575,R917-PK219506572,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/P_Uhlig,,,http://eol.org/schema/terms/P_Uhlig
153,Trait-219506573,R917-PK219506572,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
154,Trait-219506035,R917-PK219506033,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/K_Chapman,,,http://eol.org/schema/terms/K_Chapman
155,MetaTrait-362416672,R917-PK219506033,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,Mar-13
156,Trait-219506037,R917-PK219506033,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Wester,,,http://eol.org/schema/terms/M_Wester
157,Trait-219506036,R917-PK219506033,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/M_Major,,,http://eol.org/schema/terms/M_Major
158,Trait-219506038,R917-PK219506033,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/P_Uhlig,,,http://eol.org/schema/terms/P_Uhlig
159,Trait-219506034,R917-PK219506033,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://eol.org/schema/terms/C_Morneau,,,http://eol.org/schema/terms/C_Morneau
